Kami mendapat rumah murah di dekat sungai.,We got a cheap house near the river.
interested (in),tertarik,lesson3 shopping misc en-id
Saya terlewat bus sebelumnya.,I missed the previous bus.,lesson7 id-en phrase
Keluarga saya pindah ke Surabaya tahun lalu.,My family moved to Surabaya last year.,lesson8 id-en phrase
Argentina,Argentina,lesson4 travel en-id
November,November
tawar,bland / to bargain,lesson3 shopping shopping id-en
jadi macet setiap hari,traffic is bad every day,lesson5 phrases-grammar id-en
air transportation,transportasi udara,lesson7 transport en-id
earlier,lebih awal,lesson5 time en-id
tidak panas lagi,it's not hot anymore,lesson9 descriptions id-en
cheap,murah
weekly,mingguan,lesson3 shopping frequency en-id
Tapi ada juga yang jauh lebih mahal.,But there are also some that are much more expensive.
I have a headache because it's too hot,saya sakit kepala karena terlalu panas,lesson5 phrases-grammar en-id
traffic,lalu lintas,lesson8 activities-methods en-id
"Bahkan di Jakarta, tarif listrik naik lagi.","Even in Jakarta, electricity rates rose again.",lesson8 id-en phrase
highlands / plateau,dataran tinggi,lesson9 places en-id
will / going to (marker),akan,lesson2 tenses grammar en-id
Bali pelan-pelan kehilangan budayanya,Bali is slowly losing its culture,lesson5 phrases-grammar id-en
tanggal,date (day number),lesson2 tenses time id-en
dataran rendah,lowlands,lesson9 places id-en
setengah,half,lesson8 quantifiers id-en
ini terlalu mahal,this is too expensive,lesson3 shopping shopping id-en
ear (colloq.),kuping,lesson6 health-comm en-id
lantai bawah,downstairs,lesson5 rooms id-en
sudah hampir 3 bulan,nearly 3 months already,lesson5 time id-en
"Bus ini penuh, kita harus tunggu bus selanjutnya.",This bus is full; we must wait for the next bus.,lesson7 id-en phrase
awal,beginning; start
hard / loud / tough,keras,lesson8 qualities en-id
dangerous,berbahaya,lesson9 descriptions en-id
kemarin,yesterday,lesson6 time id-en
room; bedroom,kamar
just a drink,minuman aja,lesson7 grammar-expressions en-id
My partner/girlfriend/boyfriend likes imported fruit.,Pacar saya suka buah impor.
Suami dia bertanya kepada petani tentang harga buah.,Her husband asked the farmer about the price of the fruit.
kali,"times (once, twice…)",lesson1 adjectives-prefixes frequency id-en
bertanya (tanya),to ask (a question)
aktivitas yang sama,the same activities,lesson8 activities-methods id-en
fiancé(e); engaged,tunangan
kapan,when (asking specific time/date),lesson7 grammar-expressions id-en
Pagar melindungi kebun dari hewan liar.,The fence protects the garden from wild animals.
"My house can't handle the cold, so I use the heating.","Rumah saya tidak tahan dingin, jadi saya buat pemanas.",lesson6 en-id phrase
when (stating something that happened),ketika,lesson7 grammar-expressions en-id
naik,to rise / increase; to get on (a vehicle),lesson8 time-change id-en
civet coffee,kopi luwak,lesson3 shopping coffee en-id
bus,bus,lesson7 transport id-en
hangat,warm,lesson1 adjectives-prefixes weather id-en
Ongkos mobil lebih mahal dari sepeda.,The fare for a car is more expensive than a bicycle.,lesson7 id-en phrase
South America,Amerika Selatan,lesson4 travel en-id
north,utara
bahkan,even (emphatic),lesson8 quantifiers id-en
to work (formal),bekerja,lesson2 tenses work en-id
comfortable,nyaman,lesson9 descriptions en-id
hari ini,today,lesson2 tenses time id-en
Dia sedang makan.,He/She is eating (right now).,lesson2 tenses id-en phrase
experience,pengalaman,lesson3 shopping coffee en-id
September,September
tiga,three
kembali,to return,lesson6 movement id-en
He/She is still sleeping.,Dia masih tidur.,lesson8 en-id phrase
This area is quieter at night.,Wilayah ini lebih sunyi pada malam hari.,lesson8 en-id phrase
Argentina,Argentina,lesson4 travel id-en
Harga itu kurang cocok untuk kami.,That price is not very suitable for us.
When was the last time you went to Scotland?,Kapan terakhir kali kamu pergi ke Skotlandia?,lesson9 en-id phrase
usually,biasanya,lesson6 fillers en-id
desa,village
paid in full,lunas
demo,riots / demonstrations,lesson5 vocab id-en
journey (takes … time),perjalanan (memakan waktu…),lesson9 travel-time en-id
Perjalanan itu memakan waktu tujuh atau delapan jam.,The journey takes seven or eight hours.,lesson9 id-en phrase
The view is beautiful.,Pemandangannya indah.,lesson1 adjectives-prefixes en-id phrase
scary / frightening,menakutkan,lesson8 qualities en-id
olahraga,sport / exercise,lesson6 sports id-en
when (asking specific time/date),kapan,lesson7 grammar-expressions en-id
tujuh,seven
to swim,berenang,lesson6 sports en-id
ruangan,room (formal),lesson5 rooms id-en
Tetanggaku ramah dan yakin bisa membantu.,My neighbour is friendly and sure they can help.,lesson9 id-en phrase
injured,cedera,lesson2 tenses health en-id
Tagihan itu sudah lunas.,That bill is paid in full.
sometimes,kadang-kadang
adventure,petualangan,lesson9 comparison-misc en-id
kadang-kadang,sometimes
destroyed; to be destroyed,hancur
"superlative (e.g., tercantik)",ter-,lesson1 adjectives-prefixes grammar en-id
hilang,lost / disappearing,lesson5 vocab id-en
meminta (minta),to ask; to request
unggah,upload (root),lesson8 tech-utilities id-en
the entire / whole,seluruh,lesson8 quantifiers en-id
clean (adjective),bersih,lesson8 cleanliness en-id
thirteen,tiga belas
eleven,sebelas
orang tua,parents
berenang,to swim,lesson6 sports id-en
twenty,dua puluh
