Kami mendapat rumah murah di dekat sungai.,We got a cheap house near the river.
lebih,mudah easier
acronym,singkatan
singkatan,acronym
element,elemen
elemen,element
will,akan
akan,will
the other,yang lain
yang lain,the other
"difficulty."" It comes from the word sulit, meaning ""difficult.", kesulitan Kesulitan can be translated as
 kesulitan Kesulitan can be translated as,"difficulty."" It comes from the word sulit, meaning ""difficult."
"hardship""), and masalah (""problem"") or (""trouble",word has synonyms such as kesusahan (
word has synonyms such as kesusahan (,"hardship""), and masalah (""problem"") or (""trouble"
financial problem,For example: 1. masalah keuangan
For example: 1. masalah keuangan,financial problem
economical problem,kesulitan ekonomi
kesulitan ekonomi,economical problem
you (polite),anda
anda,you (polite)
Excuse me.,Permisi.
Permisi.,Excuse me.
regular,biasa
biasa,regular
to find out,ketahui
ketahui,to find out
(to) weigh,timban
timban,(to) weigh
(to) track,lacak
lacak,(to) track
number,nomor
nomor,number
"how long,", berapa lama Berapa lama can be translated as
 berapa lama Berapa lama can be translated as,"how long,"
"how many"" or ""how much"") and lama (""time unit","comes from two words, berapa ("
"comes from two words, berapa (","how many"" or ""how much"") and lama (""time unit"
How long should we wait for him?,example: 1. Berapa lama lagi kita harus menunggu dia?
example: 1. Berapa lama lagi kita harus menunggu dia?,How long should we wait for him?
"(to) trace"" or ""(to) track.","melacak Melacak comes from the root word lacak, meaning"
"melacak Melacak comes from the root word lacak, meaning","(to) trace"" or ""(to) track."
the tracing,"as a noun if we add the particles pe...an , as pelacakan ("
"as a noun if we add the particles pe...an , as pelacakan (",the tracing
The police could trace the perpetrator from the clothes of the victims.,For example: 1. Polisi berhasil melacak pelaku kejahatan dari pakaian korban.
For example: 1. Polisi berhasil melacak pelaku kejahatan dari pakaian korban.,The police could trace the perpetrator from the clothes of the victims.
"number,"" as in nomor urut (""sequence number",Nomor can be translated as
Nomor can be translated as,"number,"" as in nomor urut (""sequence number"
"unique number""), and nomor siswa (""student number",(
(,"unique number""), and nomor siswa (""student number"
Andi loves number seven.,1. Andi menyukai nomor tujuh.
1. Andi menyukai nomor tujuh.,Andi loves number seven.
"to light up, to give light",menerangi
menerangi,"to light up, to give light"
monument,monumen
monumen,monument
"cart, dogcart",dokar horse
dokar horse,"cart, dogcart"
kite,layang-layang
layang-layang,kite
to feed,memberi makan
memberi makan,to feed
pigeon,merpati
merpati,pigeon
feast.,makan means
makan means,feast.
schedule,jadwal
jadwal,schedule
snack,kudapan
kudapan,snack
to appreciate; to value,hargai
hargai,to appreciate; to value
"help, please",Tolong
Tolong,"help, please"
meeting,rapat
rapat,meeting
message,pesan
pesan,message
agent,agen
agen,agent
cracker,kerupuk
kerupuk,cracker
to possess,punya
punya,to possess
crowd; liveliness,keramaian
keramaian,crowd; liveliness
enthusiastic,antusias
antusias,enthusiastic
interesting,menarik
menarik,interesting
lalu last year,tahun
tahun,lalu last year
near,dekat
dekat,near
interested in,tertarik
tertarik,interested in
He's interested in your offer.,Dia tertarik dengan penawaranmu .
Dia tertarik dengan penawaranmu .,He's interested in your offer.
food,makanan
makanan,food
must,pasti
pasti,must
fresh,segar
segar,fresh
tired,lelah
lelah,tired
idea,ide
ide,idea
to eat,makan
makan,to eat
exhausted,letih 
letih ,exhausted
to apologize,minta maaf
minta maaf,to apologize
mistake,kesalahan
kesalahan,mistake
to arrive,tiba
tiba,to arrive
awal earlier,lebih
lebih,awal earlier
lalu lintas traffic light,lampu
lampu,lalu lintas traffic light
lama longer,lebih
lebih,lama longer
to believe,percaya
percaya,to believe
traffic jam., macet Macet is the general word for
 macet Macet is the general word for,traffic jam.
terrible traffic jam,can't move forward. For example: macet parah -
can't move forward. For example: macet parah -,terrible traffic jam
very worst traffic jam,macet sekali -
macet sekali -,very worst traffic jam
"mistake,"" ""wrong,"" or ""fault,",Kesalahan can be translated as
Kesalahan can be translated as,"mistake,"" ""wrong,"" or ""fault,"
"big mistake"") and Maafkan kesalahanku (""Forgive my mistake",(
(,"big mistake"") and Maafkan kesalahanku (""Forgive my mistake"
"mistake"") are kekeliruan (""error"") and kegagalan (""failure",with kesalahan (
with kesalahan (,"mistake"") are kekeliruan (""error"") and kegagalan (""failure"
"arrive,"" such as in tiba di tujuan (""arrive at a destination",tiba Tiba can be translated as
tiba Tiba can be translated as,"arrive,"" such as in tiba di tujuan (""arrive at a destination"
arrive safely,dengan selamat (
dengan selamat (,arrive safely
Mom has just arrived from the market.,For example: 1. Ibu baru saja tiba dari pasar.
For example: 1. Ibu baru saja tiba dari pasar.,Mom has just arrived from the market.
water,air
air,water
refreshing,segar
segar,refreshing
to see,lihat
lihat,to see
"panorama, scenery",pemandangan
pemandangan,"panorama, scenery"
to bring,bawa
bawa,to bring
to be ready,siap
siap,to be ready
to change clothes,ganti pakaian
ganti pakaian,to change clothes
camera,kamera
kamera,camera
after,setelah
setelah,after
visit,kunjungi
kunjungi,visit
walk,jalan
jalan,walk
"near, close",dekat
dekat,"near, close"
kerja weekday,hari
hari,kerja weekday
comfortable,nyaman
nyaman,comfortable
because,karena
karena,because
pleasant,menyenangkan
menyenangkan,pleasant
even,bahkan
bahkan,even
morning,pagi
pagi,morning
service,kebaktian
kebaktian,service
to start; to begin,mulai
mulai,to start; to begin
balcony,balkon
balkon,balcony
he/ she (polite form),beliau
beliau,he/ she (polite form)
the best,terbaik
terbaik,the best
recover,sembuh
sembuh,recover
"hospitalization, inpatient",rawat inap
rawat inap,"hospitalization, inpatient"
sakit hospital,rumah
rumah,sakit hospital
healthy,sehat
sehat,healthy
jantung heart attack,serangan
serangan,jantung heart attack
to expect,harap
harap,to expect
General Hospital, Rumah Sakit Umum -
Rumah Sakit Umum -,General Hospital
Mother and Child hospital, Rumah Sakit Ibu dan Anak -
 Rumah Sakit Ibu dan Anak -,Mother and Child hospital
recovered.,sembuh Sembuh can be translated as
sembuh Sembuh can be translated as,recovered.
"recovered from illness""). Sembuh also means",used in the phrase sembuh dari sakit (
used in the phrase sembuh dari sakit (,"recovered from illness""). Sembuh also means"
"such as in the expression, Cepat sembuh (""Get well soon","well,"
"well,","such as in the expression, Cepat sembuh (""Get well soon"
"to seem, to appear intransitive",sepertinya
sepertinya,"to seem, to appear intransitive"
to run out,kehabisan
kehabisan,to run out
to shop,belanja
belanja,to shop
umbrella,payung
payung,umbrella
to visit,jenguk
jenguk,to visit
fruits,buah-buahan
buah-buahan,fruits
milk,susu
susu,milk
"after,"" such as in setelah rapat (""after the meeting", setelah Setelah can be translated as
 setelah Setelah can be translated as,"after,"" such as in setelah rapat (""after the meeting"
"after the meal""), or setelah rehat (""after the break",makan (
makan (,"after the meal""), or setelah rehat (""after the break"
"need,"" such as in perlu tidur (""need to sleep""), perlu makan (",perlu Perlu can be translated as
perlu Perlu can be translated as,"need,"" such as in perlu tidur (""need to sleep""), perlu makan ("
"), and perlu istirahat (""need to rest",to eat
to eat,"), and perlu istirahat (""need to rest"
"to seem"" or ""to appear,",Sepertinya can be translated as
Sepertinya can be translated as,"to seem"" or ""to appear,"
"It seems like there will be a storm.""), or, Sepertinya akan hujan (",badai (
badai (,"It seems like there will be a storm.""), or, Sepertinya akan hujan ("
The sun is heating the hot desert.,Matahari sedang memanaskan gurun yang panas.
Matahari sedang memanaskan gurun yang panas.,The sun is heating the hot desert.
It's hot.,Panas.
Panas.,It's hot.
The news is true.,Kabar itu benar.
Kabar itu benar.,The news is true.
I like it in Yogya.,Saya senang di Yogya.
Saya senang di Yogya.,I like it in Yogya.
I had applied for jobs at several places.,Saya sudah melamar pekerjaan di beberapa tempat.
Saya sudah melamar pekerjaan di beberapa tempat.,I had applied for jobs at several places.
My brother will visit Korea in July.,Kakak saya akan mengunjungi Korea di bulan Juli.
Kakak saya akan mengunjungi Korea di bulan Juli.,My brother will visit Korea in July.
My family will visit Rome next year.,Keluarga saya akan mengunjungi Roma tahun depan.
Keluarga saya akan mengunjungi Roma tahun depan.,My family will visit Rome next year.
I dislike stories about bears.,Saya tidak menyukai cerita tentang beruang.
Saya tidak menyukai cerita tentang beruang.,I dislike stories about bears.
Recently many managers have been getting a bad reputation.,Belakangan ini banyak manajer yang mendapat nama buruk.
Belakangan ini banyak manajer yang mendapat nama buruk.,Recently many managers have been getting a bad reputation.
The manager got angry.,Manajer itu menjadi marah.
Manajer itu menjadi marah.,The manager got angry.
Good luck with your job interview tomorrow!,Semoga sukses dengan wawancara kerjamu besok!
Semoga sukses dengan wawancara kerjamu besok!,Good luck with your job interview tomorrow!
Hospital fees in America are extremely high.,Biaya rumah sakit di Amerika sangat tinggi.
Biaya rumah sakit di Amerika sangat tinggi.,Hospital fees in America are extremely high.
I would definitely pay an extra fee in order to secure a seat on the train.,Saya pasti akan membayar biaya tambahan untuk menjamin kursi di kereta.
Saya pasti akan membayar biaya tambahan untuk menjamin kursi di kereta.,I would definitely pay an extra fee in order to secure a seat on the train.
"If you use this service, an expensive fee will apply.","Bila kamu menggunakan layanan ini, akan dikenakan biaya yang mahal."
"Bila kamu menggunakan layanan ini, akan dikenakan biaya yang mahal.","If you use this service, an expensive fee will apply."
I feel horrified after hearing the story.,Rasanya ngeri setelah mendengar ceritanya.
Rasanya ngeri setelah mendengar ceritanya.,I feel horrified after hearing the story.
What! He's still sleeping?,Masa dia masih tidur?
Masa dia masih tidur?,What! He's still sleeping?
"Really, he said that?",Masa dia bilang begitu?
Masa dia bilang begitu?,"Really, he said that?"
Is it true that he doesn't have a car?,Masa dia tidak punya mobil?
Masa dia tidak punya mobil?,Is it true that he doesn't have a car?
I will be 10 minutes late.,Aku bakalan telat 10 menit.
Aku bakalan telat 10 menit.,I will be 10 minutes late.
I think this is nice.,Menurut saya ini bagus.
Menurut saya ini bagus.,I think this is nice.
Please answer the questions with the most correct answers on the sheet provided.,Jawablah pertanyaan dengan jawaban yang paling tepat pada lembar yang disediakan.
Jawablah pertanyaan dengan jawaban yang paling tepat pada lembar yang disediakan.,Please answer the questions with the most correct answers on the sheet provided.
Please try to remember what happened yesterday at the crime scene.,Mohon coba untuk mengingat-ingat apa yang terjadi kemarin di tempat kejadian perkara.
Mohon coba untuk mengingat-ingat apa yang terjadi kemarin di tempat kejadian perkara.,Please try to remember what happened yesterday at the crime scene.
You thought I wouldn't remember your birthday.,Saya kira saya tidak akan ingat ulang tahun kamu.
Saya kira saya tidak akan ingat ulang tahun kamu.,You thought I wouldn't remember your birthday.
He doesn't remember anything that happened before the accident.,Dia tidak ingat apa yang terjadi sebelum kecelakaan.
Dia tidak ingat apa yang terjadi sebelum kecelakaan.,He doesn't remember anything that happened before the accident.
I want to drop one subject.,Saya ingin membatalkan satu mata kuliah.
Saya ingin membatalkan satu mata kuliah.,I want to drop one subject.
The lecturer is handing out assignment papers.,Dosen sedang membagi-bagikan kertas tugas.
Dosen sedang membagi-bagikan kertas tugas.,The lecturer is handing out assignment papers.
That house was burned on Monday morning.,Rumah itu terbakar pada hari Senin pagi.
Rumah itu terbakar pada hari Senin pagi.,That house was burned on Monday morning.
The information has been spread around the campus.,Informasi itu sudah tersebar di seluruh kampus.
Informasi itu sudah tersebar di seluruh kampus.,The information has been spread around the campus.
"I'd like to borrow this VHS, but I don't have a VHS player.","Saya ingin meminjam VHS ini, tapi saya tidak punya pemutar VHS."
"Saya ingin meminjam VHS ini, tapi saya tidak punya pemutar VHS.","I'd like to borrow this VHS, but I don't have a VHS player."
(Do you) want to borrow my car?,Mau pinjam mobil saya?
Mau pinjam mobil saya?,(Do you) want to borrow my car?
He is apologizing for his harsh behavior.,Dia meminta ampun atas perlakuannya yang kasar.
Dia meminta ampun atas perlakuannya yang kasar.,He is apologizing for his harsh behavior.
My favorite restaurant is Subway.,Restoran favorit saya adalah Subway.
Restoran favorit saya adalah Subway.,My favorite restaurant is Subway.
The atmosphere of the restaurant has drawn a lot of customers lately.,Suasana restoran itu menarik banyak pelanggan belakangan ini.
Suasana restoran itu menarik banyak pelanggan belakangan ini.,The atmosphere of the restaurant has drawn a lot of customers lately.
We haven't met for a year.,Kita belum ketemu selama setahun.
Kita belum ketemu selama setahun.,We haven't met for a year.
The explanation is being given to his family by the doctor.,Keluarganya sedang diberi keterangan oleh dokter.
Keluarganya sedang diberi keterangan oleh dokter.,The explanation is being given to his family by the doctor.
I gather information from the Internet.,Saya mengumpulkan keterangan dari internet.
Saya mengumpulkan keterangan dari internet.,I gather information from the Internet.
Indonesian people really love doing culinary tours.,Orang Indonesia sangat gemar melakukan wisata kuliner.
Orang Indonesia sangat gemar melakukan wisata kuliner.,Indonesian people really love doing culinary tours.
The audience was stunned looking at their appearance,Para penonton terkesima melihat penampilannya.
Para penonton terkesima melihat penampilannya.,The audience was stunned looking at their appearance
He is looking at short-term forecasts of the price of gold.,Dia sedang melihat prakiraan jangka pendek dari harga emas.
Dia sedang melihat prakiraan jangka pendek dari harga emas.,He is looking at short-term forecasts of the price of gold.
Lately the weather in Indonesia cannot be predicted.,Belakangan ini cuaca di Indonesia tidak dapat diprediksi lagi.
Belakangan ini cuaca di Indonesia tidak dapat diprediksi lagi.,Lately the weather in Indonesia cannot be predicted.
She has good potential to be a teacher.,Dia memiliki potensi yang baik untuk menjadi seorang guru.
Dia memiliki potensi yang baik untuk menjadi seorang guru.,She has good potential to be a teacher.
My hair was wet by the pouring rain.,Rambutku basah terkena guyur hujan.
Rambutku basah terkena guyur hujan.,My hair was wet by the pouring rain.
He is returning to his hometown after living for five years in Singapore.,Dia kembali ke tanah airnya setelah tinggal 5 tahun di Singapura.
Dia kembali ke tanah airnya setelah tinggal 5 tahun di Singapura.,He is returning to his hometown after living for five years in Singapore.
This city is famous for its beach tourism.,Kota ini terkenal dengan wisata pantainya.
Kota ini terkenal dengan wisata pantainya.,This city is famous for its beach tourism.
I often go on a picnic on a sunny day.,Saya sering pergi berpiknik saat cuaca cerah.
Saya sering pergi berpiknik saat cuaca cerah.,I often go on a picnic on a sunny day.
Today's weather is sunny with occasional clouds.,Cuaca hari ini cerah dengan sedikit berawan.
Cuaca hari ini cerah dengan sedikit berawan.,Today's weather is sunny with occasional clouds.
"On sunny days, the beach is very crowded.","Di hari-hari cerah, pantai biasanya sangat ramai."
"Di hari-hari cerah, pantai biasanya sangat ramai.","On sunny days, the beach is very crowded."
Have you read the news this morning?,Sudah baca berita pagi ini?
Sudah baca berita pagi ini?,Have you read the news this morning?
His arrival is welcome with joy by his two kids.,Kedatangannya disambut dengan gembira oleh kedua anaknya.
Kedatangannya disambut dengan gembira oleh kedua anaknya.,His arrival is welcome with joy by his two kids.
This place is very quiet.,Tempat ini sangat sepi.
Tempat ini sangat sepi.,This place is very quiet.
That is a good place.,Itu tempat baik.
Itu tempat baik.,That is a good place.
This is the biggest size.,Ini adalah ukuran yang paling besar.
Ini adalah ukuran yang paling besar.,This is the biggest size.
Most likely he's stuck in traffic.,Paling dia terjebak macet.
Paling dia terjebak macet.,Most likely he's stuck in traffic.
"Many problems have occurred in our office, since he quit working.","Banyak masalah yang terjadi di kantor kami, semenjak dia berhenti bekerja."
"Banyak masalah yang terjadi di kantor kami, semenjak dia berhenti bekerja.","Many problems have occurred in our office, since he quit working."
It is the same procedure as every year.,Prosedurnya sama seperti setiap tahunnya.
Prosedurnya sama seperti setiap tahunnya.,It is the same procedure as every year.
Who's this present for?,Kado ini buat siapa?
Kado ini buat siapa?,Who's this present for?
The party will be held at the garden behind his house.,Pestanya akan diadakan di taman belakang rumahnya.
Pestanya akan diadakan di taman belakang rumahnya.,The party will be held at the garden behind his house.
The kids are fighting in the back seat of the car.,Anak-anak sedang bertengkar di kursi belakang mobil.
Anak-anak sedang bertengkar di kursi belakang mobil.,The kids are fighting in the back seat of the car.
"Since I watch this movie too often, I memorized the dialogue.","Saking seringnya nonton film ini, aku hafal dialognya."
"Saking seringnya nonton film ini, aku hafal dialognya.","Since I watch this movie too often, I memorized the dialogue."
The pus came out from his children's ears.,Nanah keluar dri telinga anaknya.
Nanah keluar dri telinga anaknya.,The pus came out from his children's ears.
My finger was pricked by a needle while sewing.,Jariku tertusuk jarum ketika menjahit.
Jariku tertusuk jarum ketika menjahit.,My finger was pricked by a needle while sewing.
My dentist recommended that I floss my teeth with dental floss everyday.,Dokter gigi menganjurkan saya membersihkan gigi dengan benang gigi setiap hari.
Dokter gigi menganjurkan saya membersihkan gigi dengan benang gigi setiap hari.,My dentist recommended that I floss my teeth with dental floss everyday.
They are eating durian.,Mereka sedang memakan durian.
Mereka sedang memakan durian.,They are eating durian.
"When you have a sore throat, pease gargle with salt water.","Bila tenggorokan kamu sakit, kumurlah dengan air garam."
"Bila tenggorokan kamu sakit, kumurlah dengan air garam.","When you have a sore throat, pease gargle with salt water."
"During the operation, he will be under general anesthesia.",Selama operasi berlangsung dia akan dibius total.
Selama operasi berlangsung dia akan dibius total.,"During the operation, he will be under general anesthesia."
Please check my homework.,Tolong periksa PR saya.
Tolong periksa PR saya.,Please check my homework.
I can't check my bank account due to technical problems.,Saya tidak bisa memeriksa rekening bank saya karena ada masalah teknis.
Saya tidak bisa memeriksa rekening bank saya karena ada masalah teknis.,I can't check my bank account due to technical problems.
I'm a doctor.,Saya seorang dokter.
Saya seorang dokter.,I'm a doctor.
You’d better call him first before you decide to visit.,Mending kamu telepon dia dulu sebelum memutuskan untuk berkunjung.
Mending kamu telepon dia dulu sebelum memutuskan untuk berkunjung.,You’d better call him first before you decide to visit.
Every Sunday we buy household necessities.,Setiap hari minggu kami membeli barang-barang keperluan rumah tangga.
Setiap hari minggu kami membeli barang-barang keperluan rumah tangga.,Every Sunday we buy household necessities.
"I wanted to stay at a nice hotel, but I had no money.","Saya mau menginap di hotel yang bagus, tapi saya tidak punya uang."
"Saya mau menginap di hotel yang bagus, tapi saya tidak punya uang.","I wanted to stay at a nice hotel, but I had no money."
"When I was a child, I always had to ask my mother first if I could stay at my friends' places.","Ketika saya masih kecil, saya harus meminta izin kepada ibu saya untuk menginap di rumah teman."
"Ketika saya masih kecil, saya harus meminta izin kepada ibu saya untuk menginap di rumah teman.","When I was a child, I always had to ask my mother first if I could stay at my friends' places."
I want to send this package to Australia.,Saya ingin mengirimkan paket ini ke Australia.
Saya ingin mengirimkan paket ini ke Australia.,I want to send this package to Australia.
This price already includes tax.,Harga ini sudah termasuk pajak.
Harga ini sudah termasuk pajak.,This price already includes tax.
My mother is shopping in the supermarket.,Ibu saya sedang berbelanja di supermarket.
Ibu saya sedang berbelanja di supermarket.,My mother is shopping in the supermarket.
"I hate to go shopping with my boyfriend, he is so picky.","Saya benci berbelanja dengan pacar saya, dia terlalu pilih-pilih."
"Saya benci berbelanja dengan pacar saya, dia terlalu pilih-pilih.","I hate to go shopping with my boyfriend, he is so picky."
The housewives are shopping at the supermarket.,Ibu-ibu rumah tangga sedang berbelanja di pasar swalayan.
Ibu-ibu rumah tangga sedang berbelanja di pasar swalayan.,The housewives are shopping at the supermarket.
When you buy new clothes it is a good idea to try them on first.,"Waktu berbelanja pakaian, sebaiknya dicoba dulu."
"Waktu berbelanja pakaian, sebaiknya dicoba dulu.",When you buy new clothes it is a good idea to try them on first.
Is it safe to shop online on this website?,Apakah aman untuk belanja daring di situs ini?
Apakah aman untuk belanja daring di situs ini?,Is it safe to shop online on this website?
"Besides going to foreign countries, people from Jakarta like sightseeing in Bali.","Selain ke luar negri, orang-orang Jakarta gemar bertamasya ke Bali."
"Selain ke luar negri, orang-orang Jakarta gemar bertamasya ke Bali.","Besides going to foreign countries, people from Jakarta like sightseeing in Bali."
It is winter in Australia now.,Sekarang sedang musim dingin di Australia.
Sekarang sedang musim dingin di Australia.,It is winter in Australia now.
What is the name the main character in this miniseries?,Siapa nama pemeran utama dalam mini seri ini?
Siapa nama pemeran utama dalam mini seri ini?,What is the name the main character in this miniseries?
I had fried noodles for breakfast earlier this morning.,Saya makan mie goreng untuk sarapan tadi pagi.
Saya makan mie goreng untuk sarapan tadi pagi.,I had fried noodles for breakfast earlier this morning.
I don't know how to cook it.,Saya tidak tahu cara memasaknya.
Saya tidak tahu cara memasaknya.,I don't know how to cook it.
You can read the instructions on how to use it.,Cara pemakaian dapat kamu baca di kertas petunjuk.
Cara pemakaian dapat kamu baca di kertas petunjuk.,You can read the instructions on how to use it.
Mix the ingredients and let it sit for 30 minutes.,Campur bahan-bahan dan diamkan selama 30 menit.
Campur bahan-bahan dan diamkan selama 30 menit.,Mix the ingredients and let it sit for 30 minutes.
If you mix the files we have to start again from the beginning.,"Bila kamu mencampur berkas-berkas itu, kita harus memulainya lagi dari mula."
"Bila kamu mencampur berkas-berkas itu, kita harus memulainya lagi dari mula.",If you mix the files we have to start again from the beginning.
The chef is cooking in the kitchen.,Koki kepala itu sedang memasak di dapur.
Koki kepala itu sedang memasak di dapur.,The chef is cooking in the kitchen.
Where did you buy this pempek?,Kamu beli pempek ini di mana?
Kamu beli pempek ini di mana?,Where did you buy this pempek?
"The vinegar for pempek tastes sweet, sour and hot.","Cuka untuk pempek rasanya manis, asam dan pedas."
"Cuka untuk pempek rasanya manis, asam dan pedas.","The vinegar for pempek tastes sweet, sour and hot."
Please stir the mixture over low heat.,Mohon aduk campurannya di atas api kecil.
Mohon aduk campurannya di atas api kecil.,Please stir the mixture over low heat.
My cousin will visit for a week.,Sepupu saya akan berkunjung selama seminggu.
Sepupu saya akan berkunjung selama seminggu.,My cousin will visit for a week.
I'm very close with my cousin.,Saya sangat dekat dengan sepupu saya.
Saya sangat dekat dengan sepupu saya.,I'm very close with my cousin.
He is busy with studying.,Dia sedang sibuk belajar.
Dia sedang sibuk belajar.,He is busy with studying.
Are you busy on Saturday?,Apakah kamu sibuk pada hari Sabtu?
Apakah kamu sibuk pada hari Sabtu?,Are you busy on Saturday?
Please cut the grass in the backyard.,Tolong potong rumput di halaman belakang.
Tolong potong rumput di halaman belakang.,Please cut the grass in the backyard.
Please peel this carrot and cut it into small pieces.,Tolong kupas wortel ini dan potong kecil- kecil.
Tolong kupas wortel ini dan potong kecil- kecil.,Please peel this carrot and cut it into small pieces.
"We will have to cut the pizza into pieces, so that everybody can eat.","Kita harus memotong pizzanya menjadi beberapa potong, jadi semuanya bisa makan."
"Kita harus memotong pizzanya menjadi beberapa potong, jadi semuanya bisa makan.","We will have to cut the pizza into pieces, so that everybody can eat."
"My first impression, (was that he's) a kind and polite person.","Kesan pertama saya, orangnya baik dan sopan."
"Kesan pertama saya, orangnya baik dan sopan.","My first impression, (was that he's) a kind and polite person."
His bag was robbed on his way home.,Tasnya dirampas dalam perjalanan pulang.
Tasnya dirampas dalam perjalanan pulang.,His bag was robbed on his way home.
That young man originates from Bandung.,Pemuda itu berasal dari Bandung.
Pemuda itu berasal dari Bandung.,That young man originates from Bandung.
Our seats are in the fourth carriage.,Tempat duduk kita berada di gerbong keempat.
Tempat duduk kita berada di gerbong keempat.,Our seats are in the fourth carriage.
The next train to London will arrive in thirty minutes.,Kereta menuju London yang selanjutnya akan tiba dalam tiga puluh menit.
Kereta menuju London yang selanjutnya akan tiba dalam tiga puluh menit.,The next train to London will arrive in thirty minutes.
I commute to work by train.,Saya pulang dan pergi kerja naik kereta api.
Saya pulang dan pergi kerja naik kereta api.,I commute to work by train.
His/her characteristics are fine.,Ciri-cirinya baik.
Ciri-cirinya baik.,His/her characteristics are fine.
The robbery happened around 7 am.,Perampokan itu terjadi sekitar jam 7 pagi.
Perampokan itu terjadi sekitar jam 7 pagi.,The robbery happened around 7 am.
Her finger is suffering from burns.,Jarinya mengalami luka bakar.
Jarinya mengalami luka bakar.,Her finger is suffering from burns.
The doctor will give some explaination to the patient's family member.,Dokter akan memberikan keterangan pada anggota keluarga pasien.
Dokter akan memberikan keterangan pada anggota keluarga pasien.,The doctor will give some explaination to the patient's family member.
He is contacting the police.,Dia sedang menghubungi polisi.
Dia sedang menghubungi polisi.,He is contacting the police.
Please step forward one by one to introduce yourselves.,Silahkan maju satu per satu untuk memperkenalkan diri kalian.
Silahkan maju satu per satu untuk memperkenalkan diri kalian.,Please step forward one by one to introduce yourselves.
"Because of an emergency, Andi went back to Jakarta in a hurry.","Karena hal yang mendesak, Andi segera kembali ke Jakarta."
"Karena hal yang mendesak, Andi segera kembali ke Jakarta.","Because of an emergency, Andi went back to Jakarta in a hurry."
"As soon as we cease to be friendly with nature, it ceases to be our friend.","Saat kita tidak bersahabat dengan alam, saat itulah alam tidak bersahabat dengan kita."
"Saat kita tidak bersahabat dengan alam, saat itulah alam tidak bersahabat dengan kita.","As soon as we cease to be friendly with nature, it ceases to be our friend."
Hello? (literally 'What news?'),Apa kabar?
Apa kabar?,Hello? (literally 'What news?')
"After 9 pm, please exit through the back door.","Setelah jam 9, silahkan keluar lewat pintu belakang."
"Setelah jam 9, silahkan keluar lewat pintu belakang.","After 9 pm, please exit through the back door."
Please wait in this room.,Silahkan tunggu di ruangan ini.
Silahkan tunggu di ruangan ini.,Please wait in this room.
Please wait for me in front of the enterance.,"Tunggu saya di depan pintu masuk, ya."
"Tunggu saya di depan pintu masuk, ya.",Please wait for me in front of the enterance.
Can you wait for your invoice a couple of days more? I have it almost ready.,Bisakah Anda menunggu tagihan Anda dalam beberapa hari lagi? Sudah hampir siap.
Bisakah Anda menunggu tagihan Anda dalam beberapa hari lagi? Sudah hampir siap.,Can you wait for your invoice a couple of days more? I have it almost ready.
I hate waiting for you for hours!,Aku benci menunggu selama berjam- jam.
Aku benci menunggu selama berjam- jam.,I hate waiting for you for hours!
Brew it with the hot water and wait for 5 minutes.,Seduhlah dengan air panas dan tunggu selama 5 menit.
Seduhlah dengan air panas dan tunggu selama 5 menit.,Brew it with the hot water and wait for 5 minutes.
Please wait for a moment.,Mohon tunggu sebentar.
Mohon tunggu sebentar.,Please wait for a moment.
Tell your feedback and complaints to us through this form.,Sampaikan umpan balik dan keluhan Anda pada kami lewat formulir ini.
Sampaikan umpan balik dan keluhan Anda pada kami lewat formulir ini.,Tell your feedback and complaints to us through this form.
Until we meet again!,Sampai jumpa lagi!
Sampai jumpa lagi!,Until we meet again!
The man is showering.,Laki-laki sedang mandi.
Laki-laki sedang mandi.,The man is showering.
"I shower in the morning, and my husband showers at night.","Saya mandi pagi hari, suami saya malam hari."
"Saya mandi pagi hari, suami saya malam hari.","I shower in the morning, and my husband showers at night."
I need an electronic dictionary.,Saya butuh sebuah kamus elektronik.
Saya butuh sebuah kamus elektronik.,I need an electronic dictionary.
They need my help.,Mereka butuh bantuan saya.
Mereka butuh bantuan saya.,They need my help.
I need some advice.,Saya butuh saran.
Saya butuh saran.,I need some advice.
I will go to the beach during my summer vacation.,Saya akan pergi ke pantai selama liburan musim panas.
Saya akan pergi ke pantai selama liburan musim panas.,I will go to the beach during my summer vacation.
"While in London, he studied fine arts.","Selama di London, dia belajar mengenai seni rupa."
"Selama di London, dia belajar mengenai seni rupa.","While in London, he studied fine arts."
"Afraid of the dog, the kid is calling his mother.","karena takut anjing, anak kecil itu memanggil ibunya."
"karena takut anjing, anak kecil itu memanggil ibunya.","Afraid of the dog, the kid is calling his mother."
You must get out through here.,Kamu harus keluar lewat sini.
Kamu harus keluar lewat sini.,You must get out through here.
You must go out here.,Harus keluar di sini.
Harus keluar di sini.,You must go out here.
She is a nurse who served me yesterday.,Dia adalah suster yang melayani saya kemarin.
Dia adalah suster yang melayani saya kemarin.,She is a nurse who served me yesterday.
She is reading a magazine while waiting for her turn.,Dia membaca majalah sambil menunggu gilirannya.
Dia membaca majalah sambil menunggu gilirannya.,She is reading a magazine while waiting for her turn.
For a long time he had not returned to his hometown.,Sudah sekian lama dia belum kembali ke kampung halamannya.
Sudah sekian lama dia belum kembali ke kampung halamannya.,For a long time he had not returned to his hometown.
I guess this statement is not true.,Saya kira pernyataan ini tidak benar.
Saya kira pernyataan ini tidak benar.,I guess this statement is not true.
This field usually used to hold a market on Sunday.,Lapangan ini biasa digunakan untuk menggelar pasar di hari Minggu.
